0: {(city,=,"Iasi");(wind,<=,80)}
1: {(date,>,02.11.2025);(rain,!=,3.5);(temp,>,16);(city,=,"Cluj");(stationid,<,49);(wind,<,14);(direction,<,"SE")}
2: {(city,=,"Brasov")}
5: {(city,=,"Bucharest")}
8: {(rain,>=,49.0);(city,=,"Cluj")}
10: {(date,>=,31.01.2024);(temp,<=,14);(city,=,"Constanta");(wind,<,39)}
12: {(temp,!=,-6);(city,=,"Iasi")}
15: {(city,<=,"Cluj");(stationid,!=,75)}
18: {(rain,>,41.4);(temp,>,-1);(city,=,"Craiova");(stationid,>,89);(direction,<=,"S")}
20: {(temp,!=,-6);(city,<=,"Bucharest");(wind,>=,10)}
22: {(rain,<,48.0);(city,=,"Cluj")}
23: {(city,=,"Brasov");(stationid,>,19)}
6: {(temp,!=,24);(city,=,"Timisoara");(stationid,>=,65);(wind,<=,26);(direction,<=,"SW")}
27: {(rain,<,48.2);(temp,<,20);(city,=,"Cluj");(wind,>=,77)}
29: {(temp,<,27);(city,!=,"Timisoara");(direction,!=,"E")}
7: {(temp,<=,23);(city,!=,"Brasov");(direction,>=,"E")}
31: {(date,!=,07.08.2024);(temp,>=,8);(wind,!=,94);(direction,<,"SW")}
9: {(rain,>=,2.8);(temp,<,12);(city,=,"Constanta");(stationid,!=,30);(wind,>,25)}
11: {(temp,<=,-10);(city,=,"Brasov")}
39: {(city,=,"Constanta");(wind,!=,47)}
40: {(rain,>,11.0);(city,=,"Constanta");(wind,!=,42)}
45: {(date,>,22.01.2023);(city,=,"Brasov");(direction,<,"N")}
48: {(temp,>=,14);(city,<=,"Timisoara")}
55: {(rain,<,23.0);(city,=,"Constanta");(direction,!=,"NW")}
56: {(rain,>=,5.5);(temp,!=,22);(city,=,"Iasi");(wind,>,50)}
13: {(date,!=,22.11.2023);(rain,>,14.6);(temp,<,14);(city,=,"Iasi");(stationid,<=,55);(wind,!=,83)}
58: {(temp,>=,-3);(city,>=,"Craiova");(wind,>=,33)}
60: {(temp,<,11);(city,=,"Bucharest")}
62: {(rain,!=,4.0);(temp,!=,-3);(city,=,"Bucharest");(wind,<=,47)}
14: {(date,<,03.03.2024);(city,=,"Brasov");(stationid,<,73);(wind,<=,19);(direction,>=,"SE")}
